School,State,Control,Total Applications,Total Accepted,Acceptance Rate,Total Cost,Total Population,Male Population,Female Population,Male Percentage,Female Percentage, M/F 
Eastern Kentucky University,KY,Public,"7,251","7,131",98.35%,"$33,382","13,984","5,438","8,546",38.89%,61.11%,39/61
Eastern Michigan University,MI,Public,"17,506","14,811",84.61%,"$30,976","15,340","5,791","9,549",37.75%,62.25%,38/62
Eastern New Mexico University-Main Campus,NM,Public,"1,480",481,32.50%,"$22,745","4,991","1,780","3,211",35.66%,64.34%,36/64
Eastern Oregon University,OR,Public,646,631,97.68%,"$38,691","2,825","1,102","1,723",39.01%,60.99%,39/61
Eastern University,PA,Private not-for-profit,"1,866","1,282",68.70%,"$54,532","4,429","1,656","2,773",37.39%,62.61%,37/63
Eastern Washington University,WA,Public,"4,232","4,108",97.07%,"$44,935","10,892","4,317","6,575",39.63%,60.37%,40/60
Eckerd College,FL,Private not-for-profit,"5,580","3,927",70.38%,"$67,204","2,036",619,"1,417",30.40%,69.60%,30/70
ECPI University,VA,Private for-profit,"4,802","3,960",82.47%,$0,"12,466","4,895","7,571",39.27%,60.73%,39/61
Edgewood College,WI,Private not-for-profit,"1,198","1,144",95.49%,"$49,382","1,894",554,"1,340",29.25%,70.75%,29/71
Edward Waters University,FL,Private not-for-profit,"6,254","5,010",80.11%,"$27,164","2,871","1,423","1,448",49.56%,50.44%,50/50
Elizabeth City State University,NC,Public,"3,373","2,590",76.79%,"$18,673","2,054",807,"1,247",39.29%,60.71%,39/61
Elizabethtown College,PA,Private not-for-profit,"2,510","1,995",79.48%,"$50,462","1,933",748,"1,185",38.70%,61.30%,39/61
Elmhurst University,IL,Private not-for-profit,"3,762","2,682",71.29%,"$55,992","3,518","1,326","2,192",37.69%,62.31%,38/62
Elon University,NC,Private not-for-profit,"17,834","13,859",77.71%,"$59,627","7,127","2,836","4,291",39.79%,60.21%,40/60
Embry-Riddle Aeronautical University-Daytona Beach,FL,Private not-for-profit,"9,255","6,691",72.30%,"$59,972","9,593","7,048","2,545",73.47%,26.53%,73/27
Embry-Riddle Aeronautical University-Prescott,AZ,Private not-for-profit,"3,659","2,699",73.76%,"$60,158","3,071","2,257",814,73.49%,26.51%,73/27
Embry-Riddle Aeronautical University-Worldwide,FL,Private not-for-profit,"1,278",889,69.56%,$0,"12,720","10,456","2,264",82.20%,17.80%,82/18
Emerson College,MA,Private not-for-profit,"11,568","5,238",45.28%,"$77,370","5,900","1,686","4,214",28.58%,71.42%,29/71
Emmanuel College,MA,Private not-for-profit,"6,072","4,486",73.88%,"$65,090","1,950",434,"1,516",22.26%,77.74%,22/78
Emory University,GA,Private not-for-profit,"33,435","4,364",13.05%,"$78,814","14,779","5,783","8,996",39.13%,60.87%,39/61
Emporia State University,KS,Public,"1,419","1,254",88.37%,"$29,576","5,615","1,821","3,794",32.43%,67.57%,32/68
Endicott College,MA,Private not-for-profit,"5,055","3,903",77.21%,"$58,038","3,982","1,321","2,661",33.17%,66.83%,33/67
Evangel University,MO,Private not-for-profit,"1,224",779,63.64%,"$40,032","2,100",940,"1,160",44.76%,55.24%,45/55
Everglades University,FL,Private not-for-profit,854,516,60.42%,$0,"2,649","1,446","1,203",54.59%,45.41%,55/45
Fairfield University,CT,Private not-for-profit,"12,674","7,073",55.81%,"$74,085","5,826","2,342","3,484",40.20%,59.80%,40/60
Fairleigh Dickinson University-Florham Campus,NJ,Private not-for-profit,"4,125","3,488",84.56%,"$56,390","3,078","1,215","1,863",39.47%,60.53%,39/61
Fairleigh Dickinson University-Metropolitan Campus,NJ,Private not-for-profit,"3,982","3,374",84.73%,"$56,390","7,467","2,945","4,522",39.44%,60.56%,39/61
Fairmont State University,WV,Public,"1,767","1,745",98.75%,"$30,858","3,562","1,425","2,137",40.01%,59.99%,40/60
Farmingdale State College,NY,Public,"6,995","5,072",72.51%,"$35,934","9,348","5,496","3,852",58.79%,41.21%,59/41
Fashion Institute of Technology,NY,Public,"4,706","2,432",51.68%,"$49,000","8,150","1,360","6,790",16.69%,83.31%,17/83
Faulkner University,AL,Private not-for-profit,"1,791","1,157",64.60%,"$38,340","2,874","1,193","1,681",41.51%,58.49%,42/58
Fayetteville State University,NC,Public,"4,135","3,393",82.06%,"$21,236","6,748","2,027","4,721",30.04%,69.96%,30/70
Felician University,NJ,Private not-for-profit,"2,307","2,122",91.98%,"$54,480","2,411",645,"1,766",26.75%,73.25%,27/73
Ferris State University,MI,Public,"10,480","8,884",84.77%,"$26,676","10,361","4,743","5,618",45.78%,54.22%,46/54
FIDM-Fashion Institute of Design & Merchandising,CA,Private for-profit,"1,490",536,35.97%,$0,"1,764",306,"1,458",17.35%,82.65%,17/83
Fitchburg State University,MA,Public,"3,414","2,911",85.27%,"$33,817","6,674","2,570","4,104",38.51%,61.49%,39/61
Flagler College,FL,Private not-for-profit,"5,381","3,984",74.04%,"$42,450","2,652",872,"1,780",32.88%,67.12%,33/67
Florida Agricultural and Mechanical University,FL,Public,"8,717","3,076",35.29%,"$36,093","9,000","3,075","5,925",34.17%,65.83%,34/66
Florida Atlantic University,FL,Public,"25,148","19,617",78.01%,"$37,298","30,155","12,420","17,735",41.19%,58.81%,41/59
Florida Gulf Coast University,FL,Public,"14,462","12,901",89.21%,"$39,534","15,909","6,589","9,320",41.42%,58.58%,41/59
Florida Institute of Technology,FL,Private not-for-profit,"10,650","7,016",65.88%,"$61,016","7,830","3,970","3,860",50.70%,49.30%,51/49
Florida International University,FL,Public,"16,406","10,502",64.01%,"$37,279","56,664","24,109","32,555",42.55%,57.45%,43/57
Florida Southern College,FL,Private not-for-profit,"10,759","6,550",60.88%,"$57,200","3,386","1,198","2,188",35.38%,64.62%,35/65
Florida State University,FL,Public,"65,235","24,183",37.07%,"$36,910","45,130","18,841","26,289",41.75%,58.25%,42/58
Fordham University,NY,Private not-for-profit,"46,275","26,980",58.30%,"$83,666","16,986","6,475","10,511",38.12%,61.88%,38/62
Fort Hays State University,KS,Public,"1,997","1,804",90.34%,"$30,055","14,102","5,262","8,840",37.31%,62.69%,37/63
Fort Lewis College,CO,Public,"3,795","3,520",92.75%,"$37,534","3,567","1,601","1,966",44.88%,55.12%,45/55
Fort Valley State University,GA,Public,"5,403","3,904",72.26%,"$31,444","2,923","1,049","1,874",35.89%,64.11%,36/64
Framingham State University,MA,Public,"5,117","4,288",83.80%,"$34,200","4,495","1,693","2,802",37.66%,62.34%,38/62
Francis Marion University,SC,Public,"3,028","2,608",86.13%,"$34,851","3,923","1,258","2,665",32.07%,67.93%,32/68
Franciscan University of Steubenville,OH,Private not-for-profit,"2,257","1,545",68.45%,"$43,540","3,415","1,441","1,974",42.20%,57.80%,42/58
Franklin and Marshall College,PA,Private not-for-profit,"7,720","2,898",37.54%,"$83,354","2,145",949,"1,196",44.24%,55.76%,44/56
Franklin Pierce University,NH,Private not-for-profit,"3,305","2,926",88.53%,"$61,955","1,777",795,982,44.74%,55.26%,45/55
Freed-Hardeman University,TN,Private not-for-profit,"1,147","1,008",87.88%,"$37,300","2,320",927,"1,393",39.96%,60.04%,40/60
Fresno Pacific University,CA,Private not-for-profit,917,714,77.86%,"$47,115","3,524",954,"2,570",27.07%,72.93%,27/73
Friends University,KS,Private not-for-profit,"1,826","1,053",57.67%,"$45,812","1,692",725,967,42.85%,57.15%,43/57
Frostburg State University,MD,Public,"4,287","3,689",86.05%,"$41,380","4,452","1,979","2,473",44.45%,55.55%,44/56
Furman University,SC,Private not-for-profit,"7,174","5,119",71.35%,"$73,920","2,463",956,"1,507",38.81%,61.19%,39/61
Gannon University,PA,Private not-for-profit,"4,746","3,967",83.59%,"$56,104","4,596","1,847","2,749",40.19%,59.81%,40/60
Gardner-Webb University,NC,Private not-for-profit,"5,657","4,466",78.95%,"$46,770","3,441","1,146","2,295",33.30%,66.70%,33/67
George Fox University,OR,Private not-for-profit,"3,957","3,266",82.54%,"$56,390","4,285","1,540","2,745",35.94%,64.06%,36/64
George Mason University,VA,Public,"20,527","18,741",91.30%,"$56,885","38,628","18,322","20,306",47.43%,52.57%,47/53
George Washington University,DC,Private not-for-profit,"27,236","13,539",49.71%,"$80,945","26,457","9,871","16,586",37.31%,62.69%,37/63
Georgetown College,KY,Private not-for-profit,"2,764","2,060",74.53%,"$56,374","1,625",668,957,41.11%,58.89%,41/59
Georgetown University,DC,Private not-for-profit,"27,629","3,311",11.98%,"$84,696","20,935","9,352","11,583",44.67%,55.33%,45/55
Georgia College & State University,GA,Public,"4,633","4,062",87.68%,"$47,102","6,763","2,348","4,415",34.72%,65.28%,35/65
Georgia Gwinnett College,GA,Public,"5,427","5,049",93.03%,"$34,274","10,949","4,517","6,432",41.25%,58.75%,41/59
Georgia Institute of Technology-Main Campus,GA,Public,"44,048","7,030",15.96%,"$49,218","43,859","30,044","13,815",68.50%,31.50%,69/31
Georgia Southern University,GA,Public,"18,541","16,782",90.51%,"$36,529","27,076","10,908","16,168",40.29%,59.71%,40/60
Georgia Southwestern State University,GA,Public,"1,651","1,413",85.58%,"$30,832","3,157","1,033","2,124",32.72%,67.28%,33/67
Georgia State University,GA,Public,"19,755","19,753",99.99%,"$44,188","36,973","14,351","22,622",38.81%,61.19%,39/61
Georgian Court University,NJ,Private not-for-profit,"1,505","1,198",79.60%,"$53,712","2,126",570,"1,556",26.81%,73.19%,27/73
Gettysburg College,PA,Private not-for-profit,"6,206","3,496",56.33%,"$78,900","2,401","1,174","1,227",48.90%,51.10%,49/51
Gonzaga University,WA,Private not-for-profit,"8,853","6,742",76.15%,"$69,707","7,381","3,100","4,281",42.00%,58.00%,42/58
Gordon College,MA,Private not-for-profit,"1,462","1,132",77.43%,"$41,390","1,804",655,"1,149",36.31%,63.69%,36/64
Gordon State College,GA,Public,"1,295","1,135",87.64%,"$23,714","3,101","1,035","2,066",33.38%,66.62%,33/67
Goucher College,MD,Private not-for-profit,"2,724","2,243",82.34%,"$70,000","1,917",544,"1,373",28.38%,71.62%,28/72
Governors State University,IL,Public,"1,168",608,52.05%,"$33,080","4,395","1,523","2,872",34.65%,65.35%,35/65
Grace College and Theological Seminary,IN,Private not-for-profit,"4,152","3,453",83.16%,"$41,324","1,919",782,"1,137",40.75%,59.25%,41/59
Grambling State University,LA,Public,"3,351","2,428",72.46%,"$34,686","5,270","1,816","3,454",34.46%,65.54%,34/66
Grand Canyon University,AZ,Private for-profit,"36,861","30,534",82.84%,"$32,100","103,072","27,655","75,417",26.83%,73.17%,27/73
Grand Valley State University,MI,Public,"17,163","15,730",91.65%,"$33,101","22,406","8,388","14,018",37.44%,62.56%,37/63
Grand View University,IA,Private not-for-profit,"1,765","1,757",99.55%,"$48,374","1,757",825,932,46.96%,53.04%,47/53
Grinnell College,IA,Private not-for-profit,"10,513","1,108",10.54%,"$79,628","1,748",831,917,47.54%,52.46%,48/52
Grove City College,PA,Private not-for-profit,"2,082","1,511",72.57%,"$32,890","2,317","1,196","1,121",51.62%,48.38%,52/48
Gustavus Adolphus College,MN,Private not-for-profit,"3,799","2,757",72.57%,"$66,120","2,251",982,"1,269",43.63%,56.37%,44/56
Gwynedd Mercy University,PA,Private not-for-profit,904,819,90.60%,"$55,740","2,521",651,"1,870",25.82%,74.18%,26/74
Hamilton College,NY,Private not-for-profit,"9,380","1,320",14.07%,"$80,380","2,055",942,"1,113",45.84%,54.16%,46/54
Hamline University,MN,Private not-for-profit,"4,493","3,434",76.43%,"$59,749","2,931",982,"1,949",33.50%,66.50%,34/66
Hampton University,VA,Private not-for-profit,"13,192","10,570",80.12%,"$46,048","3,317","1,090","2,227",32.86%,67.14%,33/67
Hardin-Simmons University,TX,Private not-for-profit,"2,125","2,010",94.59%,"$45,919","1,937",852,"1,085",43.99%,56.01%,44/56
Harding University,AR,Private not-for-profit,"2,200","1,191",54.14%,"$35,864","4,973","2,050","2,923",41.22%,58.78%,41/59
Harvard University,MA,Private not-for-profit,"57,786","2,318",4.01%,"$83,538","31,345","14,778","16,567",47.15%,52.85%,47/53
Hawaii Pacific University,HI,Private not-for-profit,"11,948","10,194",85.32%,"$50,818","4,586","1,611","2,975",35.13%,64.87%,35/65
Henderson State University,AR,Public,"2,377","1,783",75.01%,"$29,302","2,919","1,209","1,710",41.42%,58.58%,41/59
Herzing University-Madison,WI,Private not-for-profit,435,410,94.25%,$0,"2,939",442,"2,497",15.04%,84.96%,15/85
High Point University,NC,Private not-for-profit,"11,150","8,951",80.28%,"$62,190","5,860","2,493","3,367",42.54%,57.46%,43/57
Hobart William Smith Colleges,NY,Private not-for-profit,"3,752","2,530",67.43%,"$80,635","1,684",815,869,48.40%,51.60%,48/52
Hofstra University,NY,Private not-for-profit,"24,886","16,862",67.76%,"$73,548","10,243","4,121","6,122",40.23%,59.77%,40/60
Holy Family University,PA,Private not-for-profit,"1,946","1,499",77.03%,"$49,174","3,011",666,"2,345",22.12%,77.88%,22/78
Hondros College of Nursing,OH,Private for-profit,333,273,81.98%,$0,"2,541",179,"2,362",7.04%,92.96%,7/93
Hood College,MD,Private not-for-profit,"3,192","2,451",76.79%,"$62,870","2,095",706,"1,389",33.70%,66.30%,34/66
Hope College,MI,Private not-for-profit,"4,172","3,854",92.38%,"$53,210","3,132","1,205","1,927",38.47%,61.53%,38/62
Houston Baptist University,TX,Private not-for-profit,"9,685","8,220",84.87%,"$51,642","4,120","1,290","2,830",31.31%,68.69%,31/69
Howard University,DC,Private not-for-profit,"29,396","10,362",35.25%,"$51,450","12,065","3,523","8,542",29.20%,70.80%,29/71
Hult International Business School,MA,Private not-for-profit,"1,495",758,50.70%,"$75,085","2,214","1,285",929,58.04%,41.96%,58/42
Husson University,ME,Private not-for-profit,"2,802","2,397",85.55%,"$35,381","3,311","1,247","2,064",37.66%,62.34%,38/62
Illinois Institute of Technology,IL,Private not-for-profit,"6,521","4,311",66.11%,"$71,910","6,486","4,111","2,375",63.38%,36.62%,63/37
Illinois State University,IL,Public,"11,913","10,905",91.54%,"$44,299","20,233","8,492","11,741",41.97%,58.03%,42/58
Illinois Wesleyan University,IL,Private not-for-profit,"4,543","2,055",45.23%,"$68,732","1,653",816,837,49.36%,50.64%,49/51
Immaculata University,PA,Private not-for-profit,"2,067","1,645",79.58%,"$46,470","2,478",637,"1,841",25.71%,74.29%,26/74
Indiana Institute of Technology,IN,Private not-for-profit,"2,492","1,620",65.01%,"$45,144","2,450","1,414","1,036",57.71%,42.29%,58/42
Indiana State University,IN,Public,"12,581","11,786",93.68%,"$36,090","9,459","4,003","5,456",42.32%,57.68%,42/58
Indiana University of Pennsylvania-Main Campus,PA,Public,"8,846","8,333",94.20%,"$34,649","9,298","3,602","5,696",38.74%,61.26%,39/61
Indiana University-Bloomington,IN,Public,"46,498","39,543",85.04%,"$55,130","45,328","23,035","22,293",50.82%,49.18%,51/49
Indiana University-East,IN,Public,"1,288","1,037",80.51%,$0,"3,111","1,072","2,039",34.46%,65.54%,34/66
Indiana University-Kokomo,IN,Public,"2,052","1,854",90.35%,$0,"2,995","1,071","1,924",35.76%,64.24%,36/64
Indiana University-Northwest,IN,Public,"1,660","1,419",85.48%,$0,"3,460",921,"2,539",26.62%,73.38%,27/73
Indiana University-Purdue University-Indianapolis,IN,Public,"15,194","12,704",83.61%,"$47,218","27,690","10,943","16,747",39.52%,60.48%,40/60
Indiana University-South Bend,IN,Public,"2,270","2,019",88.94%,"$33,815","4,449","1,525","2,924",34.28%,65.72%,34/66
Indiana University-Southeast,IN,Public,"2,001","1,802",90.05%,"$35,637","4,051","1,586","2,465",39.15%,60.85%,39/61
Indiana Wesleyan University-Marion,IN,Private not-for-profit,"3,880","3,566",91.91%,"$43,202","2,862",981,"1,881",34.28%,65.72%,34/66
Iona University,NY,Private not-for-profit,"6,625","6,132",92.56%,"$65,418","3,617","1,660","1,957",45.89%,54.11%,46/54
Iowa State University,IA,Public,"20,357","18,550",91.12%,"$39,956","30,708","16,948","13,760",55.19%,44.81%,55/45
Ithaca College,NY,Private not-for-profit,"13,445","10,451",77.73%,"$66,235","5,239","2,271","2,968",43.35%,56.65%,43/57
Jackson State University,MS,Public,"7,889","4,900",62.11%,"$30,523","7,080","2,236","4,844",31.58%,68.42%,32/68
Jacksonville State University,AL,Public,"10,483","8,003",76.34%,"$33,950","9,540","3,664","5,876",38.41%,61.59%,38/62
Jacksonville University,FL,Private not-for-profit,"7,997","6,207",77.62%,"$62,982","3,995","1,363","2,632",34.12%,65.88%,34/66
James Madison University,VA,Public,"21,176","18,265",86.25%,"$47,568","22,166","9,098","13,068",41.04%,58.96%,41/59
John Brown University,AR,Private not-for-profit,"1,604",848,52.87%,"$43,260","2,459",909,"1,550",36.97%,63.03%,37/63
John Carroll University,OH,Private not-for-profit,"3,817","3,363",88.11%,"$65,240","3,171","1,655","1,516",52.19%,47.81%,52/48
Johns Hopkins University,MD,Private not-for-profit,"39,515","2,972",7.52%,"$80,800","32,049","14,571","17,478",45.46%,54.54%,45/55
Johnson & Wales University-Online,RI,Private not-for-profit,275,125,45.45%,$0,"2,349",679,"1,670",28.91%,71.09%,29/71
Johnson & Wales University-Providence,RI,Private not-for-profit,"9,254","8,182",88.42%,"$60,710","5,117","1,976","3,141",38.62%,61.38%,39/61
Joyce University of Nursing and Health Sciences,UT,Private for-profit,175,151,86.29%,$0,"2,173",304,"1,869",13.99%,86.01%,14/86
Kansas State University,KS,Public,"9,822","9,391",95.61%,"$42,057","20,229","9,647","10,582",47.69%,52.31%,48/52
Kean University,NJ,Public,"9,048","7,162",79.16%,"$38,903","12,759","4,510","8,249",35.35%,64.65%,35/65
Keene State College,NH,Public,"4,796","4,225",88.09%,"$41,581","3,100","1,401","1,699",45.19%,54.81%,45/55
Keiser University-Ft Lauderdale,FL,Private not-for-profit,"4,120","3,958",96.07%,"$50,699","19,861","5,487","14,374",27.63%,72.37%,28/72
Kennesaw State University,GA,Public,"20,806","16,975",81.59%,"$38,507","42,899","20,901","21,998",48.72%,51.28%,49/51
Kent State University at Kent,OH,Public,"19,881","17,359",87.31%,"$39,960","26,597","9,778","16,819",36.76%,63.24%,37/63
Kentucky State University,KY,Public,"3,974","2,591",65.20%,"$25,453","2,279",938,"1,341",41.16%,58.84%,41/59
Kenyon College,OH,Private not-for-profit,"7,601","2,778",36.55%,"$83,800","1,875",855,"1,020",45.60%,54.40%,46/54
Kettering University,MI,Private not-for-profit,"1,777","1,521",85.59%,"$58,610","1,858","1,466",392,78.90%,21.10%,79/21
King University,TN,Private not-for-profit,831,550,66.19%,"$48,810","1,656",565,"1,091",34.12%,65.88%,34/66
King's College,PA,Private not-for-profit,"3,079","2,951",95.84%,"$60,360","2,130","1,004","1,126",47.14%,52.86%,47/53
Kutztown University of Pennsylvania,PA,Public,"6,698","6,514",97.25%,"$33,274","7,673","3,163","4,510",41.22%,58.78%,41/59
La Salle University,PA,Private not-for-profit,"5,818","4,733",81.35%,"$50,440","4,043","1,327","2,716",32.82%,67.18%,33/67
La Sierra University,CA,Private not-for-profit,"2,726","1,801",66.07%,"$52,463","1,738",684,"1,054",39.36%,60.64%,39/61
Lafayette College,PA,Private not-for-profit,"8,262","3,366",40.74%,"$78,854","2,725","1,395","1,330",51.19%,48.81%,51/49
Lake Forest College,IL,Private not-for-profit,"4,358","2,808",64.43%,"$68,800","1,690",702,988,41.54%,58.46%,42/58
Lake Superior State University,MI,Public,"2,411","1,767",73.29%,"$27,694","1,812",801,"1,011",44.21%,55.79%,44/56
Lakeland University,WI,Private not-for-profit,"1,101",882,80.11%,"$47,622","2,094",825,"1,269",39.40%,60.60%,39/61
Lamar University,TX,Public,"6,129","5,397",88.06%,"$34,454","16,320","5,436","10,884",33.31%,66.69%,33/67
Lancaster Bible College,PA,Private not-for-profit,275,264,96.00%,"$43,000","1,967",953,"1,014",48.45%,51.55%,48/52
Lander University,SC,Public,"4,795","3,311",69.05%,"$36,170","3,825","1,193","2,632",31.19%,68.81%,31/69
Lasell University,MA,Private not-for-profit,"2,550","2,169",85.06%,"$62,630","1,695",635,"1,060",37.46%,62.54%,37/63
Lawrence Technological University,MI,Private not-for-profit,"2,641","2,141",81.07%,"$57,409","2,955","1,996",959,67.55%,32.45%,68/32
Le Moyne College,NY,Private not-for-profit,"7,462","5,477",73.40%,"$55,190","3,301","1,175","2,126",35.60%,64.40%,36/64
Lebanon Valley College,PA,Private not-for-profit,"3,019","2,344",77.64%,"$65,708","2,041",914,"1,127",44.78%,55.22%,45/55
Lee University,TN,Private not-for-profit,"2,222","1,843",82.94%,"$35,800","4,505","1,725","2,780",38.29%,61.71%,38/62
Lehigh University,PA,Private not-for-profit,"14,107","6,485",45.97%,"$77,885","7,263","3,903","3,360",53.74%,46.26%,54/46
Lenoir-Rhyne University,NC,Private not-for-profit,"4,847","4,155",85.72%,"$60,510","2,405",879,"1,526",36.55%,63.45%,37/63
Lesley University,MA,Private not-for-profit,"2,942","2,558",86.95%,"$53,352","4,010",718,"3,292",17.91%,82.09%,18/82
LeTourneau University,TX,Private not-for-profit,"2,290","1,241",54.19%,"$49,338","3,209","1,663","1,546",51.82%,48.18%,52/48
Lewis & Clark College,OR,Private not-for-profit,"5,519","4,385",79.45%,"$77,170","3,499","1,166","2,333",33.32%,66.68%,33/67
Lewis University,IL,Private not-for-profit,"4,311","3,072",71.26%,"$52,120","6,183","2,803","3,380",45.33%,54.67%,45/55
Liberty University,VA,Private not-for-profit,"28,448","28,244",99.28%,"$42,498","94,709","38,704","56,005",40.87%,59.13%,41/59
Life University,GA,Private not-for-profit,318,305,95.91%,"$44,406","2,787","1,350","1,437",48.44%,51.56%,48/52
Limestone University,SC,Private not-for-profit,"1,911","1,667",87.23%,"$41,055","1,840",856,984,46.52%,53.48%,47/53
Lincoln Memorial University,TN,Private not-for-profit,"2,013","1,407",69.90%,"$41,720","5,118","1,749","3,369",34.17%,65.83%,34/66
Lincoln University,PA,Public,"3,536","2,820",79.75%,"$30,334","1,916",633,"1,283",33.04%,66.96%,33/67
Lindenwood University,MO,Private not-for-profit,"3,355","2,511",74.84%,"$33,900","7,003","2,737","4,266",39.08%,60.92%,39/61
Lipscomb University,TN,Private not-for-profit,"3,422","2,532",73.99%,"$56,688","4,778","1,690","3,088",35.37%,64.63%,35/65
Logan University,MO,Private not-for-profit,29,19,65.52%,$0,"1,878",795,"1,083",42.33%,57.67%,42/58
Long Island University,NY,Private not-for-profit,"17,423","16,259",93.32%,"$60,244","15,191","5,007","10,184",32.96%,67.04%,33/67
Longwood University,VA,Public,"5,977","5,378",89.98%,"$45,936","4,612","1,408","3,204",30.53%,69.47%,31/69
Louisiana State University and Agricultural & Mechanical College,LA,Public,"36,561","25,907",70.86%,"$51,555","35,912","15,903","20,009",44.28%,55.72%,44/56
Louisiana State University-Alexandria,LA,Public,"3,174","1,850",58.29%,"$28,780","3,771","1,111","2,660",29.46%,70.54%,29/71
Louisiana State University-Shreveport,LA,Public,885,803,90.73%,"$36,528","8,881","3,513","5,368",39.56%,60.44%,40/60
Louisiana Tech University,LA,Public,"7,724","5,085",65.83%,"$31,713","11,037","5,727","5,310",51.89%,48.11%,52/48
Loyola Marymount University,CA,Private not-for-profit,"19,045","8,727",45.82%,"$76,227","10,184","4,465","5,719",43.84%,56.16%,44/56
Loyola University Chicago,IL,Private not-for-profit,"37,824","29,117",76.98%,"$67,818","17,498","5,584","11,914",31.91%,68.09%,32/68
Loyola University Maryland,MD,Private not-for-profit,"9,286","7,820",84.21%,"$72,600","5,140","2,021","3,119",39.32%,60.68%,39/61
Loyola University New Orleans,LA,Private not-for-profit,"7,455","5,835",78.27%,"$64,245","4,570","1,489","3,081",32.58%,67.42%,33/67
Lubbock Christian University,TX,Private not-for-profit,893,850,95.18%,"$41,706","1,661",562,"1,099",33.84%,66.16%,34/66
Luther College,IA,Private not-for-profit,"2,495","1,898",76.07%,"$62,885","1,744",757,987,43.41%,56.59%,43/57
Lynn University,FL,Private not-for-profit,"7,194","5,972",83.01%,"$61,398","3,385","1,625","1,760",48.01%,51.99%,48/52
Macalester College,MN,Private not-for-profit,"9,046","2,828",31.26%,"$78,900","2,244",971,"1,273",43.27%,56.73%,43/57
Madonna University,MI,Private not-for-profit,"1,219",637,52.26%,"$41,790","2,444",823,"1,621",33.67%,66.33%,34/66
Maharishi International University,IA,Private not-for-profit,58,55,94.83%,"$28,730","2,403","1,231","1,172",51.23%,48.77%,51/49
Manhattan College,NY,Private not-for-profit,"10,988","8,218",74.79%,"$70,398","3,694","2,060","1,634",55.77%,44.23%,56/44
Manhattanville College,NY,Private not-for-profit,"2,971","2,464",82.94%,"$58,678","2,350",868,"1,482",36.94%,63.06%,37/63
Marian University,IN,Private not-for-profit,"3,151","2,303",73.09%,"$54,571","4,071","1,488","2,583",36.55%,63.45%,37/63
Marist College,NY,Private not-for-profit,"11,583","6,944",59.95%,"$64,835","6,396","2,690","3,706",42.06%,57.94%,42/58
Marquette University,WI,Private not-for-profit,"16,270","14,034",86.26%,"$64,562","11,320","4,779","6,541",42.22%,57.78%,42/58
Marshall University,WV,Public,"5,602","5,479",97.80%,"$34,998","11,023","4,353","6,670",39.49%,60.51%,39/61
Maryland Institute College of Art,MD,Private not-for-profit,"3,066","2,629",85.75%,"$72,255","2,147",544,"1,603",25.34%,74.66%,25/75
Marymount Manhattan College,NY,Private not-for-profit,"6,799","5,229",76.91%,"$65,932","1,770",334,"1,436",18.87%,81.13%,19/81
Marymount University,VA,Private not-for-profit,"2,375","1,987",83.66%,"$59,407","3,555","1,362","2,193",38.31%,61.69%,38/62
Maryville University of Saint Louis,MO,Private not-for-profit,"3,557","3,256",91.54%,"$47,702","10,596","2,855","7,741",26.94%,73.06%,27/73
Marywood University,PA,Private not-for-profit,"2,541","2,080",81.86%,"$56,670","2,647",773,"1,874",29.20%,70.80%,29/71
Massachusetts College of Art and Design,MA,Public,"2,433","1,914",78.67%,"$61,060","1,907",521,"1,386",27.32%,72.68%,27/73
Massachusetts Institute of Technology,MA,Private not-for-profit,"33,240","1,365",4.11%,"$79,850","11,934","6,931","5,003",58.08%,41.92%,58/42
McDaniel College,MD,Private not-for-profit,"4,391","3,806",86.68%,"$62,684","3,053","1,030","2,023",33.74%,66.26%,34/66
McKendree University,IL,Private not-for-profit,"1,765","1,371",77.68%,"$48,730","1,958",887,"1,071",45.30%,54.70%,45/55
McNeese State University,LA,Public,"2,599","1,787",68.76%,"$26,588","6,454","2,415","4,039",37.42%,62.58%,37/63
MCPHS University,MA,Private not-for-profit,"4,846","4,735",97.71%,"$62,134","7,304","1,862","5,442",25.49%,74.51%,25/75
Medaille University,NY,Private not-for-profit,"1,656","1,159",69.99%,"$50,388","1,814",465,"1,349",25.63%,74.37%,26/74
Mercer University,GA,Private not-for-profit,"7,201","5,430",75.41%,"$57,752","9,009","2,987","6,022",33.16%,66.84%,33/67
Mercy College,NY,Private not-for-profit,"6,471","5,551",85.78%,"$40,712","8,772","2,444","6,328",27.86%,72.14%,28/72
Mercyhurst University,PA,Private not-for-profit,"3,893","3,207",82.38%,"$60,746","3,041","1,200","1,841",39.46%,60.54%,39/61
Meredith College,NC,Private not-for-profit,"1,706","1,192",69.87%,"$57,774","1,711",34,"1,677",1.99%,98.01%,2/98
Merrimack College,MA,Private not-for-profit,"10,429","8,375",80.30%,"$69,941","5,452","2,282","3,170",41.86%,58.14%,42/58
Messiah University,PA,Private not-for-profit,"2,458","1,902",77.38%,"$54,950","3,276","1,197","2,079",36.54%,63.46%,37/63
Methodist University,NC,Private not-for-profit,"2,914","2,290",78.59%,"$55,016","1,916",948,968,49.48%,50.52%,49/51
Metropolitan State University,MN,Public,650,433,66.62%,$0,"6,914","2,891","4,023",41.81%,58.19%,42/58
Metropolitan State University of Denver,CO,Public,"11,306","10,042",88.82%,$0,"17,678","7,537","10,141",42.63%,57.37%,43/57
